AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"['Gonzalez Sanchez, Victor Evaristo', 'Martin, Charles Patrick ', 'Agata Zelechowska', 'Bjerkestrand, Kari Anne Vadstensvik ', 'Victoria Johnson', 'Jensenius, Alexander Refsum ']",Victor,male,"Blacksburg, Virginia, USA",2018,6,Bela-Based Augmented Acoustic Guitars for Sonic Microinteraction,NIME,Charles,male,Agata,female,Kari,female,Victoria,female,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,0.5,0.98,0.99,,,,,,,,,,,,
"['Giacomo Lepri', 'Andrew P. McPherson']",Giacomo,male,"Blacksburg, Virginia, USA",2018,2,"Mirroring the past, from typewriting to interactive art: an approach to the re-design of a vintage technology",NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
['Seth Dominicus Thorn'],Seth,male,"Blacksburg, Virginia, USA",2018,1,Alto.Glove: New Techniques for Augmented Violin,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Liontiris, Thanos Polymeneas']",Thanos,male,"Blacksburg, Virginia, USA",2018,1,Low Frequency Feedback Drones: A non-invasive augmentation of the double bass,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
['Daniel Formo'],Daniel,male,"Blacksburg, Virginia, USA",2018,1,The Orchestra of Speech: a speech-based instrument system,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Anna Weisling', 'Anna Xambó', 'ireti olowe', 'Mathieu Barthet']",Anna,female,"Blacksburg, Virginia, USA",2018,4,Surveying the Compositional and Performance Practices of Audiovisual Practitioners,NIME,Anna,female,ireti,female,Mathieu,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.68,0.99,,,,,,,,,,,,,,
['Anthony T. Marasco'],Anthony,male,"Blacksburg, Virginia, USA",2018,1,Sound Opinions: Creating a Virtual Tool for Sound Art Installations through Sentiment Analysis of Critical Reviews,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Kosmas Kritsis', 'Aggelos Gkiokas', 'Carlos Árpád Acosta', 'Quentin Lamerand', 'Robert Piéchaud', 'Maximos Kaliakatsos-Papakostas', 'Vassilis Katsouros']",Kosmas,male,"Blacksburg, Virginia, USA",2018,7,A web-based 3D environment for gestural interaction with virtual music instruments as a STEAM education tool,NIME,Aggelos,male,Carlos,male,Quentin,male,Robert,male,Maximos,male,Vassilis,male,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.99,0.96,0.99,,,,,,,,,,,
"['Maria C. Mannone', 'Eri Kitamura', 'Jiawei Huang', 'Ryo Sugawara', 'Yoshifumi Kitamura']",Maria,female,"Blacksburg, Virginia, USA",2018,5,CubeHarmonic: A New Interface from a Magnetic 3D Motion Tracking System to Music Performance,NIME,Eri,female,Jiawei,male,Ryo,male,Yoshifumi,male,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.6,0.82,0.96,0.99,,,,,,,,,,,,,
"['Martin M Kristoffersen', 'Trond Engum']",Martin,male,"Blacksburg, Virginia, USA",2018,2,The Whammy Bar as a Digital Effect Controller,NIME,Trond,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"['Robert Pond', 'Alexander Klassen', 'Kirk McNally']",Robert,male,"Blacksburg, Virginia, USA",2018,3,Timbre Tuning: Variation in Cello Sprectrum Across Pitches and Instruments,NIME,Alexander,male,Kirk,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
"['Matthew Mosher', 'Danielle Wood', 'Tony Obr']",Matthew,male,"Blacksburg, Virginia, USA",2018,3,Tributaries of Our Lost Palpability,NIME,Danielle,female,Tony,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.97,0.98,,,,,,,,,,,,,,,
['Andrew Piepenbrink'],Andrew,male,"Blacksburg, Virginia, USA",2018,1,Embedded Digital Shakers: Handheld Physical Modeling Synthesizers,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Anna Xambó', 'Gerard Roma', 'Alexander Lerch', 'Mathieu Barthet', 'György Fazekas']",Anna,female,"Blacksburg, Virginia, USA",2018,5,Live Repurposing of Sounds: MIR Explorations with Personal and Crowdsourced Databases,NIME,Gerard,male,Alexander,male,Mathieu,male,György,male,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,0.99,0.98,,,,,,,,,,,,,
"['Avneesh Sarwate', 'Ryan Taylor Rose', 'Jason Freeman', 'Jack Armitage']",Avneesh,male,"Blacksburg, Virginia, USA",2018,4,Performance Systems for Live Coders and Non Coders,NIME,Ryan,male,Jason,male,Jack,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.99,0.98,,,,,,,,,,,,,,
"['Jeff Snyder', 'Michael R  Mulshine', 'Rajeev S Erramilli']",Jeff,male,"Blacksburg, Virginia, USA",2018,3,The Feedback Trombone: Controlling Feedback in Brass Instruments,NIME,Michael,male,Rajeev,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
['Eric Sheffield'],Eric,male,"Blacksburg, Virginia, USA",2018,1,Mechanoise: Mechatronic Sound and Interaction in Embedded Acoustic Instruments,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Jon Pigrem', 'McPherson, Andrew P.']",Jon,male,"Blacksburg, Virginia, USA",2018,2,Do We Speak Sensor? Cultural Constraints of Embodied Interaction ,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"['Spencer Salazar', 'Jack Armitage']",Spencer,male,"Blacksburg, Virginia, USA",2018,2,Re-engaging the Body and Gesture in Musical Live Coding,NIME,Jack,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.98,,,,,,,,,,,,,,,,
"['Edgar Berdahl', 'Eric Sheffield', 'Andrew Pfalz', 'Anthony T. Marasco']",Edgar,male,"Blacksburg, Virginia, USA",2018,4,Widening the Razor-Thin Edge of Chaos Into a Musical Highway: Connecting Chaotic Maps to Digital Waveguides,NIME,Eric,male,Andrew,male,Anthony,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Jeff Snyder', 'Aatish Bhatia', 'Michael R  Mulshine']",Jeff,male,"Blacksburg, Virginia, USA",2018,3,Neuron-modeled Audio Synthesis: Nonlinear Sound and Control,NIME,Aatish,male,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,0.99,,,,,,,,,,,,,,,
"['Rodrigo F. Cádiz', 'Marie Gonzalez-Inostroza']",Rodrigo,male,"Blacksburg, Virginia, USA",2018,2,Fuzzy Logic Control Toolkit 2.0: composing and synthesis by fuzzyfication,NIME,Marie,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Sang-won Leigh', 'Pattie Maes']",Sang-won,male,"Blacksburg, Virginia, USA",2018,2,Guitar Machine: Robotic Fretting Augmentation for Hybrid Human-Machine Guitar Play,NIME,Pattie,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.92,,,,,,,,,,,,,,,,
"['Scott Barton', 'Karl Sundberg', 'Andrew Walter', 'Linda Sara Baker', 'Tanuj Sane', ""Alexander O'Brien""]",Scott,male,"Blacksburg, Virginia, USA",2018,6,Robotic Percussive Aerophone,NIME,Karl,male,Andrew,male,Linda,female,Tanuj,male,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,0.98,0.98,0.99,,,,,,,,,,,,
"['Nathan Daniel Villicaña-Shaw', 'Spencer Salazar', 'Ajay Kapur']",Nathan,male,"Blacksburg, Virginia, USA",2018,3,Mechatronic Performance in Computer Music Compositions,NIME,Spencer,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.96,0.99,,,,,,,,,,,,,,,
"['Enrique Tomas', 'Thomas Gorbach', 'Hilda Tellioglu', 'Martin Kaltenbrunner']",Enrique,male,"Porto Alegre, Brazil",2019,4,Material embodiments of electroacoustic music: an experimental workshop study,NIME,Thomas,male,Hilda,female,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,0.98,,,,,,,,,,,,,,
"['Yupu Lu', 'Yijie Wu', 'Shijie Zhu']",Yupu,female,"Porto Alegre, Brazil",2019,3,Collaborative Musical Performances with Automatic Harp Based on Image Recognition and Force Sensing Resistors,NIME,Yijie,male,Shijie,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.64,0.86,,,,,,,,,,,,,,,
"['Lior Arbel', 'Yoav Y. Schechner', 'Noam Amir']",Lior,male,"Porto Alegre, Brazil",2019,3,The Symbaline --- An Active Wine Glass Instrument with a Liquid Sloshing Vibrato Mechanism,NIME,Yoav,male,Noam,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.99,0.94,,,,,,,,,,,,,,,
"['Helena de Souza Nunes', 'Federico Visi', 'Lydia Helena Wohl Coelho', 'Rodrigo Schramm']",Helena,female,"Porto Alegre, Brazil",2019,4,SIBILIM: A low-cost customizable wireless musical interface,NIME,Federico,male,Lydia,female,Rodrigo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,0.99,,,,,,,,,,,,,,
['Jonathan Bell'],Jonathan,male,"Porto Alegre, Brazil",2019,1,"The Risset Cycle, Recent Use Cases With SmartVox",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Johnty Wang', 'Axel Mulder', 'Marcelo Wanderley']",Johnty,male,"Porto Alegre, Brazil",2019,3,Practical Considerations for {MIDI} over Bluetooth Low Energy as a Wireless Interface,NIME,Axel,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.98,0.99,,,,,,,,,,,,,,,
"['Richard Ramchurn', 'Juan Pablo Martinez-Avila', 'Sarah Martindale', 'Alan Chamberlain', 'Max L Wilson', 'Steve Benford']",Richard,male,"Porto Alegre, Brazil",2019,6,Improvising a Live Score to an Interactive Brain-Controlled Film,NIME,Juan,male,Sarah,female,Alan,male,Max,male,Steve,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.98,0.99,0.98,0.99,,,,,,,,,,,,
"['Ajin Jiji Tom', 'Harish Jayanth Venkatesan', 'Ivan Franco', 'Marcelo Wanderley']",Ajin,male,"Porto Alegre, Brazil",2019,4,Rebuilding and Reinterpreting a Digital Musical Instrument --- The Sponge,NIME,Harish,male,Ivan,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Kiyu Nishida', 'Akishige Yuguchi', 'kazuhiro jo', 'Paul Modler', 'Markus Noisternig']",Kiyu,female,"Porto Alegre, Brazil",2019,5,Border: A Live Performance Based on Web {AR} and a Gesture-Controlled Virtual Instrument,NIME,Akishige,male,kazuhiro,male,Paul,male,Markus,male,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,0.99,1.0,,,,,,,,,,,,,
['Palle Dahlstedt'],Palle,male,"Porto Alegre, Brazil",2019,1,Taming and Tickling the Beast --- Multi-Touch Keyboard as Interface for a Physically Modelled Interconnected Resonating Super-Harp,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Doga Cavdir', 'Juan Sierra', 'Ge Wang']",Doga,female,"Porto Alegre, Brazil",2019,3,"Taptop, Armtop, Blowtop: Evolving the Physical Laptop Instrument",NIME,Juan,male,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.98,0.68,,,,,,,,,,,,,,,
"['David Antonio Gómez Jáuregui', 'Irvin Dongo', 'Nadine Couture']",David,male,"Porto Alegre, Brazil",2019,3,Automatic Recognition of Soundpainting for the Generation of Electronic Music Sounds,NIME,Irvin,male,Nadine,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.98,,,,,,,,,,,,,,,
"['Fabio Morreale', 'Andrea Guidi', 'Andrew P. McPherson']",Fabio,male,"Porto Alegre, Brazil",2019,3,Magpick: an Augmented Guitar Pick for Nuanced Control,NIME,Andrea,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.62,0.99,,,,,,,,,,,,,,,
"['Bertrand Petit', 'manuel serrano']",Bertrand,male,"Porto Alegre, Brazil",2019,2,Composing and executing Interactive music using the HipHop.js language,NIME,manuel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,,,,,,,,,,,,,,,,
"['Gabriel Lopes Rocha', 'João Teixera Araújo', 'Flávio Luiz Schiavoni']",Gabriel,male,"Porto Alegre, Brazil",2019,3,Ha Dou Ken Music: Different mappings to play music with joysticks,NIME,João,male,Flávio,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.0,,,,,,,,,,,,,,,
"['Torgrim Rudland Næss', 'Charles Patrick Martin']",Torgrim,male,"Porto Alegre, Brazil",2019,2,A Physical Intelligent Instrument using Recurrent Neural Networks,NIME,Charles,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
['Angelo Fraietta'],Angelo,male,"Porto Alegre, Brazil",2019,1,Creating Order and Progress,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['João Nogueira Tragtenberg', 'Filipe Calegario', 'Giordano Cabral', 'Geber L. Ramalho']",João,male,"Porto Alegre, Brazil",2019,4,Towards the Concept of Digital Dance and Music Instruments,NIME,Filipe,male,Giordano,male,Geber,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.97,0.92,,,,,,,,,,,,,,
"['Maros Suran Bomba', 'Palle Dahlstedt']",Maros,male,"Porto Alegre, Brazil",2019,2,Somacoustics: Interactive Body-as-Instrument,NIME,Palle,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.98,,,,,,,,,,,,,,,,
"['Nathan Turczan', 'Ajay Kapur']",Nathan,male,"Porto Alegre, Brazil",2019,2,The Scale Navigator: A System for Networked Algorithmic Harmony,NIME,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Alex Michael Lucas', 'Miguel Ortiz', 'Franziska Schroeder']",Alex,male,"Porto Alegre, Brazil",2019,3,Bespoke Design for Inclusive Music: The Challenges of Evaluation,NIME,Miguel,male,Franziska,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.99,0.97,,,,,,,,,,,,,,,
"['Xiao Xiao', 'Grégoire Locqueville', ""Christophe d'Alessandro"", 'Boris Doval']",Xiao,female,"Porto Alegre, Brazil",2019,4,T-Voks: the Singing and Speaking Theremin,NIME,Grégoire,male,Christophe,male,Boris,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,1.0,0.99,0.99,,,,,,,,,,,,,,
"['Hunter Brown', 'spencer topel']",Hunter,male,"Porto Alegre, Brazil",2019,2,{DRMMR}: An Augmented Percussion Implement,NIME,spencer,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.96,,,,,,,,,,,,,,,,
"['Giacomo Lepri', 'Andrew P. McPherson']",Giacomo,male,"Porto Alegre, Brazil",2019,2,"Fictional instruments, real values: discovering musical backgrounds with non-functional prototypes",NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Christopher Dewey', 'Jonathan P. Wakefield']",Christopher,male,"Porto Alegre, Brazil",2019,2,Exploring the Container Metaphor for Equalisation Manipulation,NIME,Jonathan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Alex Hofmann', 'Vasileios Chatziioannou', 'Sebastian Schmutzhard', 'Gökberk Erdogan', 'Alexander Mayer']",Alex,male,"Porto Alegre, Brazil",2019,5,The Half-Physler: An oscillating real-time interface to a tube resonator model,NIME,Vasileios,male,Sebastian,male,Gökberk,None,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.0,0.99,0.0,0.99,,,,,,,,,,,,,
"['Peter Bussigel', 'Stephan Moore', 'Scott Smallwood']",Peter,male,"Porto Alegre, Brazil",2019,3,Reanimating the Readymade,NIME,Stephan,male,Scott,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Yian Zhang', 'Yinmiao Li', 'Daniel Chin', 'Gus Xia']",Yian,male,"Porto Alegre, Brazil",2019,4,Adaptive Multimodal Music Learning via Interactive Haptic Instrument,NIME,Yinmiao,None,Daniel,male,Gus,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.0,0.99,0.96,,,,,,,,,,,,,,
"['Fabián Sguiglia', 'Pauli Coton', 'Fernando Toth']",Fabián,None,"Porto Alegre, Brazil",2019,3,El mapa no es el territorio: Sensor mapping for audiovisual performances,NIME,Pauli,male,Fernando,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.53,0.99,,,,,,,,,,,,,,,
"['Vanessa Yaremchuk', 'Carolina Brum Medeiros', 'Marcelo Wanderley']",Vanessa,female,"Porto Alegre, Brazil",2019,3,Small Dynamic Neural Networks for Gesture Classification with The Rulers (a Digital Musical Instrument),NIME,Carolina,female,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,,,,,,,,,,,,,,,
"['Palle Dahlstedt', 'Ami Skånberg Dahlstedt']",Palle,male,"Porto Alegre, Brazil",2019,2,OtoKin: Mapping for Sound Space Exploration through Dance Improvisation,NIME,Ami,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.66,,,,,,,,,,,,,,,,
"['Joe Wright', 'James Dooley']",Joe,male,"Porto Alegre, Brazil",2019,2,On the Inclusivity of Constraint: Creative Appropriation in Instruments for Neurodiverse Children and Young People,NIME,James,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.99,,,,,,,,,,,,,,,,
"['Isabela Corintha Almeida', 'Giordano Cabral', 'Gilberto Bernardes Almeida']",Isabela,female,"Porto Alegre, Brazil",2019,3,"{AMIGO}: An Assistive Musical Instrument to Engage, Create and Learn Music",NIME,Giordano,male,Gilberto,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.97,0.99,,,,,,,,,,,,,,,
"['Cristiano Figueiró', 'Guilherme Soares', 'Bruno Rohde']",Cristiano,male,"Porto Alegre, Brazil",2019,3,{ESMERIL} --- An interactive audio player and composition system for collaborative experimental music netlabels,NIME,Guilherme,male,Bruno,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Aline Weber', 'Lucas Nunes Alegre', 'Jim Torresen', 'Bruno C. da Silva']",Aline,female,"Porto Alegre, Brazil",2019,4,Parameterized Melody Generation with Autoencoders and Temporally-Consistent Noise,NIME,Lucas,male,Jim,male,Bruno,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.98,0.98,0.99,,,,,,,,,,,,,,
"['Atau Tanaka', 'Di Donato, Balandino', 'Michael Zbyszynski', 'Geert Roks']",Atau,male,"Porto Alegre, Brazil",2019,4,Designing Gestures for Continuous Sonic Interaction,NIME,Balandino,None,Michael,male,Geert,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.0,0.99,0.99,,,,,,,,,,,,,,
"['Cagri Erdem', 'Katja Henriksen Schia', 'Jensenius, Alexander Refsum']",Cagri,male,"Porto Alegre, Brazil",2019,3,Vrengt: A Shared Body-Machine Instrument for Music-Dance Performance,NIME,Katja,female,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.97,0.99,,,,,,,,,,,,,,,
"['Samuel Thompson Parke-Wolfe', 'Hugo Scurto', 'Rebecca Fiebrink']",Samuel,male,"Porto Alegre, Brazil",2019,3,Sound Control: Supporting Custom Musical Interface Design for Children with Disabilities,NIME,Hugo,male,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,,,,,,,,,,,,,,,
['Oliver Hödl'],Oliver,male,"Porto Alegre, Brazil",2019,1,'Blending Dimensions' when Composing for {DMI} and Symphonic Orchestra,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['behzad haki', 'Sergi Jorda']",behzad,male,"Porto Alegre, Brazil",2019,2,A Bassline Generation System Based on Sequence-to-Sequence Learning,NIME,Sergi,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Lloyd May', 'spencer topel']",Lloyd,male,"Porto Alegre, Brazil",2019,2,{BLIKSEM}: An Acoustic Synthesis Fuzz Pedal,NIME,spencer,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.96,,,,,,,,,,,,,,,,
"['Anna Xambó', 'Sigurd Saue', 'Alexander Refsum Jensenius', 'Robin Støckert', 'Oeyvind Brandtsegg']",Anna,female,"Porto Alegre, Brazil",2019,5,{NIME} Prototyping in Teams: A Participatory Approach to Teaching Physical Computing,NIME,Sigurd,male,Alexander,male,Robin,male,Oeyvind,male,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,0.93,1.0,,,,,,,,,,,,,
"['Eduardo Meneses', 'Johnty Wang', 'Sergio Freire', 'Marcelo Wanderley']",Eduardo,male,"Porto Alegre, Brazil",2019,4,A Comparison of Open-Source Linux Frameworks for an Augmented Musical Instrument Implementation,NIME,Johnty,male,Sergio,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.99,0.99,,,,,,,,,,,,,,
"['Lerner, Martin Matus']",Martin,male,"Porto Alegre, Brazil",2019,1,Latin American {NIME}s: Electronic Musical Instruments and Experimental Sound Devices in the Twentieth Century,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Sarah Reid', 'Ryan Gaston', 'Ajay Kapur']",Sarah,female,"Porto Alegre, Brazil",2019,3,"Perspectives on Time: performance practice, mapping strategies, \& composition with {MIGSI}",NIME,Ryan,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,0.99,,,,,,,,,,,,,,,
"['Natacha Lamounier', 'Luiz Naveda', 'Adriana Bicalho']",Natacha,female,"Porto Alegre, Brazil",2019,3,"The design of technological interfaces for interactions between music, dance and garment movements",NIME,Luiz,male,Adriana,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,,,,,,,,,,,,,,,
"['Ximena Alarcon Diaz', 'Victor Evaristo Gonzalez Sanchez', 'Cagri Erdem']",Ximena,female,"Porto Alegre, Brazil",2019,3,"{INTIMAL}: Walking to Find Place, Breathing to Feel Presence",NIME,Victor,male,Cagri,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.95,,,,,,,,,,,,,,,
"['Disha Sardana', 'Woohun Joo', 'Ivica Ico Bukvic', 'Greg Earle']",Disha,female,"Porto Alegre, Brazil",2019,4,Introducing Locus: a {NIME} for Immersive Exocentric Aural Environments,NIME,Woohun,None,Ivica,male,Greg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.0,0.94,0.99,,,,,,,,,,,,,,
"['Echo Ho', 'Alberto de Campo', 'Hannes Hoelzl']",Echo,female,"Porto Alegre, Brazil",2019,3,The SlowQin: An Interdisciplinary Approach to reinventing the Guqin,NIME,Alberto,male,Hannes,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.99,0.99,,,,,,,,,,,,,,,
"['Charles Patrick Martin', 'Jim Torresen']",Charles,male,"Porto Alegre, Brazil",2019,2,An Interactive Musical Prediction System with Mixture Density Recurrent Neural Networks,NIME,Jim,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Nicolas Bazoge', 'Ronan Gaugne', 'Florian Nouviale', 'Valérie Gouranton', 'Bruno Bossis']",Nicolas,male,"Porto Alegre, Brazil",2019,5,Expressive potentials of motion capture in musical performance,NIME,Ronan,male,Florian,male,Valérie,female,Bruno,male,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,1.0,0.99,,,,,,,,,,,,,
"['Akito Van Troyer', 'Rebecca Kleinberger']",Akito,male,"Porto Alegre, Brazil",2019,2,From Mondrian to Modular Synth: Rendering {NIME} using Generative Adversarial Networks,NIME,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.98,,,,,,,,,,,,,,,,
"['Laurel Pardue', 'Kurijn Buys', 'Dan Overholt', 'Andrew P. McPherson', 'Michael Edinger']",Laurel,female,"Porto Alegre, Brazil",2019,5,Separating sound from source: sonic transformation of the violin through electrodynamic pickups and acoustic actuation,NIME,Kurijn,None,Dan,male,Andrew,male,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.0,0.95,0.99,0.99,,,,,,,,,,,,,
"['Gabriela Bila Advincula', 'Don Derek Haddad', 'Kent Larson']",Gabriela,female,"Porto Alegre, Brazil",2019,3,Grain Prism: Hieroglyphic Interface for Granular Sampling,NIME,Don,male,Kent,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.98,,,,,,,,,,,,,,,
"['Oliver Bown', 'Angelo Fraietta', 'Sam Ferguson', 'Lian Loke', 'Liam Bray']",Oliver,male,"Porto Alegre, Brazil",2019,5,Facilitating Creative Exploratory Search with Multiple Networked Audio Devices Using HappyBrackets,NIME,Angelo,male,Sam,male,Lian,female,Liam,male,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.81,0.62,0.98,,,,,,,,,,,,,
['Thais Fernandes Santos'],Thais,female,"Porto Alegre, Brazil",2019,1,The reciprocity between ancillary gesture and music structure performed by expert musicians,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Razvan Paisa', 'Dan Overholt']",Razvan,male,"Porto Alegre, Brazil",2019,2,Enhancing the Expressivity of the Sensel Morph via Audio-rate Sensing,NIME,Dan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.95,,,,,,,,,,,,,,,,
