AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"[u'Matthew Davies', u'Adam Stark', u'Fabien Gouyon', u'Masataka Goto']",Matthew,male,"London, United Kingdom",2014,4,Improvasher: A Real-Time Mashup System for Live Musical Input,NIME,Adam,male,Fabien,male,Masataka,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
"[u'Jun-qi Deng', u'Francis Chi Moon Lau', u'Ho-Cheung Ng', u'Yu-Kwong Kwok', u'Hung-Kwan Chen', u'Yu-heng Liu']",Jun-qi,None,"London, United Kingdom",2014,6,WIJAM: A Mobile Collaborative Improvisation Platform under Master-players Paradigm,NIME,Francis,male,Ho-Cheung,None,Yu-Kwong,None,Hung-Kwan,None,Yu-heng,None,,,,,,,,,,,,,,,,,,,,,,,None,0.89,None,None,None,None,,,,,,,,,,,,
"[u'Haojing Diao', u'Yanchao Zhou', u'Christopher Andrew Harte', u'Nick Bryan-Kinns']",Haojing,None,"London, United Kingdom",2014,4,Sketch-Based Musical Composition and Performance,NIME,Yanchao,None,Christopher,male,Nick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,1.0,0.99,,,,,,,,,,,,,,
[u'Carlos Dominguez'],Carlos,male,"London, United Kingdom",2014,1,16\mbox{-}{C}dS: A Surface Controller for the Simultaneous Manipulation of Multiple Analog Components,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Liam Donovan', u'Andrew McPherson']",Liam,male,"London, United Kingdom",2014,2,The Talking Guitar: Headstock Tracking and Mapping Strategies,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"[u'Gershon Dublon', u'Joseph A. Paradiso']",Gershon,male,"London, United Kingdom",2014,2,FingerSynth: Wearable Transducers for Exploring the Environment and Playing Music Everywhere,NIME,Joseph,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Joel Eaton', u'Weiwei Jin', u'Eduardo Miranda']",Joel,male,"London, United Kingdom",2014,3,The Space Between Us. A Live Performance with Musical Score Generated via Emotional Levels Measured in {EEG} of One Performer and an Audience Member,NIME,Weiwei,female,Eduardo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.57,1.0,,,,,,,,,,,,,,,
[u'Christian Faubel'],Christian,male,"London, United Kingdom",2014,1,Rhythm Apparatus on Overhead,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"[u'Stu Favilla', u'Sonja Pedell']",Stu,male,"London, United Kingdom",2014,2,Touch Screen Collaborative Music: Designing NIME for Older People with Dementia,NIME,Sonja,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"[u'Lionel Feug\\`ere', u""Christophe d'Alessandro""]",Lionel,male,"London, United Kingdom",2014,2,Rule-Based Performative Synthesis of Sung Syllables,NIME,Christophe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"[u'Jules Fran\\c{c}oise', u'Norbert Schnell', u'Riccardo Borghesi', u""Fre\\'de\\'ric Bevilacqua""]",Jules,female,"London, United Kingdom",2014,4,Probabilistic Models for Designing Motion and Sound Relationships,NIME,Norbert,male,Riccardo,male,Frédéric,None,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,1.0,1.0,None,,,,,,,,,,,,,,
"[u'Ohad Fried', u'Zeyu Jin', u'Reid Oda', u'Adam Finkelstein']",Ohad,male,"London, United Kingdom",2014,4,AudioQuilt: {2D} Arrangements of Audio Samples using Metric Learning and Kernelized Sorting,NIME,Zeyu,None,Reid,male,Adam,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,1.0,1.0,,,,,,,,,,,,,,
"[u'Lawrence Fyfe', u'Adam Tindale', u'Sheelagh Carpendale']",Lawrence,male,"London, United Kingdom",2014,3,Extending the Nexus Data Exchange Format (NDEF) Specification,NIME,Adam,male,Sheelagh,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
[u'Chet Gnegy'],Chet,male,"London, United Kingdom",2014,1,CollideFx: A Physics-Based Audio Effects Processor,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Joachim Go{\\ss}mann', u'Max Neupert']",Joachim,male,"London, United Kingdom",2014,2,Musical Interface to Audiovisual Corpora of Arbitrary Instruments,NIME,Max,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.98,,,,,,,,,,,,,,,,
"[u'Ricky Graham', u'Brian Bridges']",Ricky,male,"London, United Kingdom",2014,2,Gesture and Embodied Metaphor in Spatial Music Performance Systems Design.,NIME,Brian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,,,,,,,,,,,,,,,,
[u'Owen Green'],Owen,male,"London, United Kingdom",2014,1,"NIME, Musicality and Practice-led Methods",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"[u'Reinhard Gupfinger', u'Martin Kaltenbrunner']",Reinhard,male,"London, United Kingdom",2014,2,SOUND TOSSING Audio Devices in the Context of Street Art,NIME,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
[u'Michael Gurevich'],Michael,male,"London, United Kingdom",2014,1,Distributed Control in a Mechatronic Musical Instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Aristotelis Hadjakos', u'Simon Waloschek']",Aristotelis,male,"London, United Kingdom",2014,2,SPINE: A TUI Toolkit and Physical Computing Hybrid,NIME,Simon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Jihyun Han', u'Nicolas Gold']",Jihyun,female,"London, United Kingdom",2014,2,Lessons Learned in Exploring the Leap Motion(TM) Sensor for Gesture-based Instrument Design,NIME,Nicolas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Jiffer Harriman', u'Michael Theodore', u'Nikolaus Correll', u'Hunter Ewen']",Jiffer,None,"London, United Kingdom",2014,4,endo/exo Making Art and Music with Distributed Computing,NIME,Michael,male,Nikolaus,male,Hunter,male,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,1.0,0.96,,,,,,,,,,,,,,
"[u'Fumito Hashimoto', u'Motoki Miura']",Fumito,male,"London, United Kingdom",2014,2,Operating Sound Parameters Using {Markov} Model and {Bayes}ian Filters in Automated Music Performance,NIME,Motoki,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Ian Hattwick', u'Preston Beebe', u'Zachary Hale', u'Marcelo Wanderley', u'Philippe Leroux', u'Fabrice Marandola']",Ian,male,"London, United Kingdom",2014,6,Unsounding Objects: Audio Feature Extraction for the Control of Sound Synthesis,NIME,Preston,male,Zachary,male,Marcelo,male,Philippe,male,Fabrice,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,1.0,1.0,0.99,1.0,,,,,,,,,,,,
"[u'Ian Hattwick', u'Joseph Malloch', u'Marcelo Wanderley']",Ian,male,"London, United Kingdom",2014,3,Forming Shapes to Bodies: Design for Manufacturing in the Prosthetic Instruments,NIME,Joseph,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,1.0,,,,,,,,,,,,,,,
"[u'Adrian Hazzard', u'Steve Benford', u'Gary Burnett']",Adrian,male,"London, United Kingdom",2014,3,You'll Never Walk Alone: Composing Location-Based Soundtracks,NIME,Steve,male,Gary,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.0,1.0,,,,,,,,,,,,,,,
"[u'Florian Heller', u'Jan Borchers']",Florian,male,"London, United Kingdom",2014,2,Visualizing Song Structure on Timecode Vinyls,NIME,Jan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6,,,,,,,,,,,,,,,,
[u'Abram Hindle'],Abram,male,"London, United Kingdom",2014,1,CloudOrch: A Portable SoundCard in the Cloud,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
"[u'Charles Holbrow', u'Elena Jessop', u'Rebecca Kleinberger']",Charles,male,"London, United Kingdom",2014,3,Vocal Vibrations: A Multisensory Experience of the Voice,NIME,Elena,female,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Colin Honigman', u'Jordan Hochenbaum', u'Ajay Kapur']",Colin,male,"London, United Kingdom",2014,3,Techniques in Swept Frequency Capacitive Sensing: An Open Source Approach,NIME,Jordan,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.77,0.99,,,,,,,,,,,,,,,
[u'Anthony Hornof'],Anthony,male,"London, United Kingdom",2014,1,The Prospects For Eye-Controlled Musical Performance,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
[u'Luisa Pereira Hors'],Luisa,female,"London, United Kingdom",2014,1,The Well-Sequenced Synthesizer,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Bastiaan van Hout', u'Luca Giacolini', u'Bart Hengeveld', u'Mathias Funk', u'Joep Frens']",Bastiaan,male,"London, United Kingdom",2014,5,Experio: a Design for Novel Audience Participation in Club Settings,NIME,Luca,male,Bart,male,Mathias,male,Joep,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.99,0.99,1.0,,,,,,,,,,,,,
"[u'Charles Hutchins', u'Holger Ballweg', u'Shelly Knotts', u'Jonas Hummel', u'Antonio Roberts']",Charles,male,"London, United Kingdom",2014,5,Soundbeam: A Platform for Sonyfing Web Tracking,NIME,Holger,male,Shelly,female,Jonas,male,Antonio,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,1.0,1.0,,,,,,,,,,,,,
"[u'Alon Ilsar', u'Mark Havryliv', u'Andrew Johnston']",Alon,male,"London, United Kingdom",2014,3,Evaluating the Performance of a New Gestural Instrument Within an Ensemble,NIME,Mark,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,1.0,,,,,,,,,,,,,,,
"[u'Ozgur Izmirli', u'Jake Faris']",Ozgur,male,"London, United Kingdom",2014,2,Imitation Framework for Percussion,NIME,Jake,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
[u'Alexander Refsum Jensenius'],Alexander,male,"London, United Kingdom",2014,1,To gesture or Not? {A}n Analysis of Terminology in {NIME} Proceedings 2001--2013,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Jimin Jeon', u'Gunho Chae', u'Edward Jangwon Lee', u'Woon Seung Yeo']",Jimin,male,"London, United Kingdom",2014,4,TAPIR Sound Tag: An Enhanced Sonic Communication Framework for Audience Participatory Performance,NIME,Gunho,None,Edward,male,Woon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,None,1.0,0.86,,,,,,,,,,,,,,
"[u'Bridget Johnson', u'Michael Norris', u'Ajay Kapur']",Bridget,female,"London, United Kingdom",2014,3,The Development Of Physical Spatial Controllers,NIME,Michael,male,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,,,,,,,,,,,,,,,
"[u'Blake Johnston', u'Henry Dengate Thrush', u'Ajay Kapur', u'Jim Murphy', u'Tane Moleta']",Blake,male,"London, United Kingdom",2014,5,"Polus: The Design and Development of a New, Mechanically Bowed String Instrument Ensemble",NIME,Henry,male,Ajay,male,Jim,male,Tane,male,,,,,,,,,,,,,,,,,,,,,,,,,0.96,1.0,0.99,1.0,1.0,,,,,,,,,,,,,
"[u'Sergi Jord\\`a', u'Sebastian Mealla']",Sergi,male,"London, United Kingdom",2014,2,"A Methodological Framework for Teaching, Evaluating and Informing NIME Design with a Focus on Mapping and Expressiveness",NIME,Sebastian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
[u'Kirsty Keatch'],Kirsty,female,"London, United Kingdom",2014,1,An Exploration of Peg Solitaire as a Compositional Tool,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
[u'Chris Kiefer'],Chris,male,"London, United Kingdom",2014,1,Musical Instrument Mapping Design with Echo State Networks,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,
"[u'Hyung Suk Kim', u'Jorge Herrera', u'Ge Wang']",Hyung,male,"London, United Kingdom",2014,3,Ping-Pong: Musically Discovering Locations,NIME,Jorge,male,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.61,,,,,,,,,,,,,,,
"[u'Niklas Kl\\""ugel', u'Timo Becker', u'Georg Groh']",Niklas,male,"London, United Kingdom",2014,3,Designing Sound Collaboratively Perceptually Motivated Audio Synthesis,NIME,Timo,male,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,1.0,,,,,,,,,,,,,,,
"[u'Niklas Kl\\""ugel', u'Gerhard Hagerer', u'Georg Groh']",Niklas,male,"London, United Kingdom",2014,3,TreeQuencer: Collaborative Rhythm Sequencing A Comparative Study,NIME,Gerhard,male,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,1.0,,,,,,,,,,,,,,,
"[u""Adinda van 't Klooster"", u'Nick Collins']",Adinda,female,"London, United Kingdom",2014,2,In A State: Live Emotion Detection and Visualisation for Music Performance,NIME,Nick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,,,,,,,,,,,,,,,,
"[u'Shelly Knotts', u'Nick Collins']",Shelly,female,"London, United Kingdom",2014,2,The Politics of Laptop Ensembles: A Survey of 160 Laptop Ensembles and their Organisational Structures,NIME,Nick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"[u'Michael Krzyzaniak', u'Julie Akerly', u'Matthew Mosher', u'Muharrem Yildirim', u'Garth Paine']",Michael,male,"London, United Kingdom",2014,5,Separation: Short Range Repulsion. Implementation of an Automated Aesthetic Synchronization System for a Dance Performance.,NIME,Julie,female,Matthew,male,Muharrem,male,Garth,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
"[u'Otso L\\""ahdeoja']",Otso,male,"London, United Kingdom",2014,1,Structure-Borne Sound and Aurally Active Spaces,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Jeppe Larsen', u'Dan Overholt', u'Thomas Moeslund']",Jeppe,male,"London, United Kingdom",2014,3,The Actuated guitar: Implementation and user test on children with Hemiplegia,NIME,Dan,male,Thomas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,1.0,,,,,,,,,,,,,,,
"[u'Sang Won Lee', u'Georg Essl']",Sang,male,"London, United Kingdom",2014,2,"Communication, Control, and State Sharing in Collaborative Live Coding",NIME,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.0,,,,,,,,,,,,,,,,
"[u'Sang Won Lee', u'Georg Essl', u'Morley Z. Mao']",Sang,male,"London, United Kingdom",2014,3,Distributing Mobile Music Applications for Audience Participation Using Mobile Ad-hoc Network ({MANET}),NIME,Georg,male,Morley,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.0,1.0,,,,,,,,,,,,,,,
"[u'Yang Kyu Lim', u'Woon Seung Yeo']",Yang,male,"London, United Kingdom",2014,2,Smartphone-based Music Conducting,NIME,Woon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.86,,,,,,,,,,,,,,,,
[u'Jason Long'],Jason,male,"London, United Kingdom",2014,1,The Robotic Taishogoto: A New Plug 'n Play Desktop Performance Instrument,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
[u'Simon Lui'],Simon,male,"London, United Kingdom",2014,1,A Real Time Common Chord Progression Guide on the Smartphone for Jamming Pop Song on the Music Keyboard,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
[u'Thor Magnusson'],Thor,male,"London, United Kingdom",2014,1,"Improvising with the Threnoscope: Integrating Code, Hardware, GUI, Network, and Graphic Scores",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"[u'Mary Mainsbridge', u'Kirsty Beilharz']",Mary,female,"London, United Kingdom",2014,2,Body As Instrument: Performing with Gestural Interfaces,NIME,Kirsty,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Clayton Mamedes', u'Mailis Rodrigues', u'Marcelo M. Wanderley', u'Jo\\^natas Manzolli', u'Denise H. L. Garcia', u'Paulo Ferreira-Lopes']",Clayton,male,"London, United Kingdom",2014,6,"Composing for DMIs Entoa, a Dedicate Piece for Intonaspacio",NIME,Mailis,female,Marcelo,male,Jônatas,None,Denise,female,Paulo,male,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,None,1.0,1.0,,,,,,,,,,,,
[u'Martin Marier'],Martin,male,"London, United Kingdom",2014,1,Designing Mappings for the Sponge: Towards Spongistic Music,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Justin Mathew', u""Ste\\'phane Huot"", u'Alan Blum']",Justin,male,"London, United Kingdom",2014,3,A Morphological Analysis of Audio-Objects and their Control Methods for {3D} Audio,NIME,Stéphane,None,Alan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,1.0,,,,,,,,,,,,,,,
"[u'Paul Mathews', u'Ness Morris', u'Jim Murphy', u'Ajay Kapur', u'Dale Carnegie']",Paul,male,"London, United Kingdom",2014,5,Tangle: a Flexible Framework for Performance with Advanced Robotic Musical Instruments,NIME,Ness,female,Jim,male,Ajay,male,Dale,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.86,1.0,0.99,0.91,,,,,,,,,,,,,
"[u'Tom Mays', u'Francis Faber']",Tom,male,"London, United Kingdom",2014,2,A Notation System for the Karlax Controller,NIME,Francis,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.89,,,,,,,,,,,,,,,,
"[u'Dario Mazzanti', u'Victor Zappi', u'Darwin Caldwell', u'Andrea Brogni']",Dario,male,"London, United Kingdom",2014,4,Augmented Stage for Participatory Performances,NIME,Victor,male,Darwin,male,Andrea,female,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.79,,,,,,,,,,,,,,
[u'Chad McKinney'],Chad,male,"London, United Kingdom",2014,1,Quick Live Coding Collaboration In The Web Browser,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Thomas Mitchell', u'Sebastian Madgwick', u'Simon Rankine', u'Geoffrey Hilton', u'Adrian Freed', u'Andrew Nix']",Thomas,male,"London, United Kingdom",2014,6,Making the Most of Wi-Fi: Optimisations for Robust Wireless Live Music Performance,NIME,Sebastian,male,Simon,male,Geoffrey,male,Adrian,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,1.0,0.97,1.0,,,,,,,,,,,,
"[u'Evan Morgan', u'Hatice Gunes', u'Nick Bryan-Kinns']",Evan,male,"London, United Kingdom",2014,3,Instrumenting the Interaction: Affective and Psychophysiological Features of Live Collaborative Musical Improvisation,NIME,Hatice,female,Nick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,0.99,,,,,,,,,,,,,,,
"[u'Fabio Morreale', u'Antonella De Angeli', u""Sile O'Modhrain""]",Fabio,male,"London, United Kingdom",2014,3,Musical Interface Design: An Experience-oriented Framework,NIME,Antonella,female,Sile,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.89,1.0,,,,,,,,,,,,,,,
"[u'Tom Mudd', u'Simon Holland', u'Paul Mulholland', u'Nick Dalton']",Tom,male,"London, United Kingdom",2014,4,Dynamical Interactions with Electronic Instruments,NIME,Simon,male,Paul,male,Nick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,1.0,0.99,,,,,,,,,,,,,,
"[u'Jim Murphy', u'Paul Mathews', u'Ajay Kapur', u'Dale Carnegie']",Jim,male,"London, United Kingdom",2014,4,Robot: Tune Yourself! Automatic Tuning for Musical Robotics,NIME,Paul,male,Ajay,male,Dale,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,0.91,,,,,,,,,,,,,,
"[u'Tim Murray-Browne', u'Dom Aversano', u'Susanna Garcia', u'Wallace Hobbes', u'Daniel Lopez', u'Tadeo Sendon', u'Panagiotis Tigas', u'Kacper Ziemianin', u'Duncan Chapman']",Tim,male,"London, United Kingdom",2014,9,The Cave of Sounds: An Interactive Installation Exploring How We Create Music Together,NIME,Dom,male,Susanna,female,Wallace,male,Daniel,male,Tadeo,male,Panagiotis,male,Kacper,male,Duncan,male,,,,,,,,,,,,,,,,,0.99,0.97,1.0,0.94,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
"[u'Tim Murray-Browne', u'Mark Plumbley']",Tim,male,"London, United Kingdom",2014,2,Harmonic Motion: A Toolkit for Processing Gestural Data for Interactive Sound,NIME,Mark,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"[u'Yoshihito Nakanishi', u'Seiichiro Matsumura', u'Chuichi Arakawa']",Yoshihito,male,"London, United Kingdom",2014,3,B.O.M.B. -Beat Of Magic Box -: Stand-Alone Synthesizer Using Wireless Synchronization System For Musical Session and Performance,NIME,Seiichiro,None,Chuichi,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,None,,,,,,,,,,,,,,,
[u'Chris Nash'],Chris,male,"London, United Kingdom",2014,1,Manhattan: End-User Programming for Music,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,
"[u'Navid Navab', u'Doug Van Nort', u'Sha Xin Wei']",Navid,male,"London, United Kingdom",2014,3,A Material Computation Perspective on Audio Mosaicing and Gestural Conditioning,NIME,Doug,male,Sha,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.56,,,,,,,,,,,,,,,
"[u'Kristian Nymoen', u'Sichao Song', u'Yngve Hafting', u'Jim Torresen']",Kristian,male,"London, United Kingdom",2014,4,Funky Sole Music: Gait Recognition and Adaptive Mapping,NIME,Sichao,male,Yngve,male,Jim,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,1.0,1.0,1.0,,,,,,,,,,,,,,
"[u'Dan Overholt', u'Steven Gelineck']",Dan,male,"London, United Kingdom",2014,2,Design \& Evaluation of an Accessible Hybrid Violin Platform,NIME,Steven,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,,,,,,,,,,,,,,,,
"[u'Laurel Pardue', u'Dongjuan Nian', u'Christopher Harte', u'Andrew McPherson']",Laurel,female,"London, United Kingdom",2014,4,Low-Latency Audio Pitch Tracking: A Multi-Modal Sensor-Assisted Approach,NIME,Dongjuan,None,Christopher,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,1.0,1.0,,,,,,,,,,,,,,
"[u'Olivier Perrotin', u""Christophe d'Alessandro""]",Olivier,male,"London, United Kingdom",2014,2,Visualizing Gestures in the Control of a Digital Musical Instrument,NIME,Christophe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"[u'Adam Place', u'Liam Lacey', u'Thomas Mitchell']",Adam,male,"London, United Kingdom",2014,3,AlphaSphere from Prototype to Product,NIME,Liam,male,Thomas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,1.0,,,,,,,,,,,,,,,
"[u'Cornelius Poepel', u'Jochen Feitsch', u'Marco Strobel', u'Christian Geiger']",Cornelius,male,"London, United Kingdom",2014,4,Design and Evaluation of a Gesture Controlled Singing Voice Installation,NIME,Jochen,male,Marco,male,Christian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,0.99,0.99,,,,,,,,,,,,,,
"[u'Timothy Polashek', u'Brad Meyer']",Timothy,male,"London, United Kingdom",2014,2,"Engravings for Prepared Snare Drum, iPad, and Computer",NIME,Brad,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
[u'Hanspeter Portner'],Hanspeter,male,"London, United Kingdom",2014,1,CHIMAERA The Poly-Magneto-Phonic Theremin An Expressive Touch-Less Hall-Effect Sensor Array,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
[u'Jarrod Ratcliffe'],Jarrod,male,"London, United Kingdom",2014,1,Hand and Finger Motion-Controlled Audio Mixing Interface,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'David Rector', u'Spencer Topel']",David,male,"London, United Kingdom",2014,2,Internally Actuated Drums for Expressive Performance,NIME,Spencer,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Alain Renaud', u'Caecilia Charbonnier', u""Sylvain Chagu\\'e""]",Alain,male,"London, United Kingdom",2014,3,{3D}inMotion A Mocap Based Interface for Real Time Visualisation and Sonification of Multi-User Interactions,NIME,Caecilia,female,Sylvain,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Thomas Resch', u'Matthias Krebs']",Thomas,male,"London, United Kingdom",2014,2,A Simple Architecture for Server-based (Indoor) Audio Walks,NIME,Matthias,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
